ciiu,descripcion
N8130.21       ,"PLANTACIÓN, CUIDADO Y MANTENIMIENTO DE VEGETACIÓN EN EDIFICIOS (AZOTEAS, FACHADAS, PATIOS INTERIORES), TERRENOS DEPORTIVOS (CAMPOS DE FÚTBOL, CAMPOS DE GOLF, ETCÉTERA), PARQUES INFANTILES, PRADERAS PARA TOMAR EL SOL Y OTROS PARQUES DE RECREO."
N8130.22       ,"PLANTACIÓN, CUIDADO Y MANTENIMIENTO DE VEGETACIÓN EN AGUA EMBALSADA Y CORRIENTE (FUENTES, ESTANQUES, PISCINAS, ACEQUIAS, CURSOS DE AGUA, SISTEMAS DE AGUAS RESIDUALES)."
N8130.23       ,"ACTIVIDADES DE MANTENIMIENTO DE TERRENOS EN BUENAS CONDICIONES ECOLÓGICAS COMO LA PLANTACIÓN DE PLANTAS DE PROTECCIÓN CONTRA EL RUIDO, EL VIENTO, LA EROSIÓN, LA VISIBILIDAD Y EL DESLUMBRAMIENTO."
N82            ,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS.
N821           ,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA.
N8211          ,ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA.
N8211.0        ,ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA.
N8211.00       ,"ACTIVIDADES DE PRESTACIÓN DE UNA SERIE DE SERVICIOS ADMINISTRATIVOS DE OFICINA CORRIENTES, COMO RECEPCIÓN, PLANIFICACIÓN FINANCIERA, FACTURACIÓN Y REGISTRO, PERSONAL Y DISTRIBUCIÓN FÍSICA (SERVICIOS DE MENSAJERÍA) Y LOGÍSTICA, A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO."
N8219          ,"FOTOCOPIADO, PREPARACIÓN DE DOCUMENTOS Y OTRAS ACTIVIDADES ESPECIALIZADAS DE APOYO DE OFICINA."
N8219.0        ,"FOTOCOPIADO, PREPARACIÓN DE DOCUMENTOS Y OTRAS ACTIVIDADES ESPECIALIZADAS DE APOYO DE OFICINA."
N8219.01       ,"SERVICIOS DE APOYO DE SECRETARÍA, TRANSCRIPCIÓN DE DOCUMENTOS Y OTROS SERVICIOS DE SECRETARÍA; ESCRITURA DE CARTAS O HISTORIALES PROFESIONALES (CURRÍCULUM), PREPARACIÓN DE DOCUMENTOS, EDICIÓN DE DOCUMENTOS Y CORRECCIÓN DE PRUEBAS; ACTIVIDADES DE MECANOGRAFÍA, PROCESAMIENTO DE TEXTO Y EDICIÓN ELECTRÓNICA."
N8219.02       ,ALQUILER DE APARTADOS DE CORREO Y OTRAS ACTIVIDADES RELACIONADAS CON EL CORREO (EXCEPTO LA PUBLICIDAD DIRECTA POR CORREO).
N8219.03       ,ACTIVIDADES DE FOTOCOPIADO Y REALIZACIÓN DE DUPLICADOS.
Q8710          ,ACTIVIDADES DE ATENCIÓN DE ENFERMERÍA EN INSTITUCIONES.
N8219.09       ,"OTROS SERVICIOS DE COPIA DE DOCUMENTOS NO ACOMPAÑADOS DE SERVICIOS DE IMPRESIÓN, COMO LOS DE IMPRESIÓN EN OFFSET, IMPRESIÓN RÁPIDA, IMPRESIÓN DIGITAL O SERVICIOS DE PREPARACIÓN PARA LA PRENSA, Y OTROS SERVICIOS ESPECIALIZADOS DE OFICINA, DISEÑO DE PROCESOS (CIANOTIPIA, BLUEPRINTING), ETCÉTERA."
N822           ,ACTIVIDADES DE CENTROS DE LLAMADAS.
N8220          ,ACTIVIDADES DE CENTROS DE LLAMADAS.
N8220.0        ,ACTIVIDADES DE CENTROS DE LLAMADAS.
N8220.01       ,"ACTIVIDADES DE CENTROS QUE ATIENDEN A LLAMADAS DE CLIENTES UTILIZANDO OPERADORES HUMANOS, SISTEMAS DE DISTRIBUCIÓN AUTOMÁTICA DE LLAMADAS, SISTEMAS INFORMATIZADOS DE TELEFONÍA, SISTEMAS INTERACTIVOS DE RESPUESTA DE VOZ O MÉTODOS SIMILARES PARA RECIBIR PEDIDOS, PROPORCIONAR INFORMACIÓN SOBRE PRODUCTOS, RESPONDER A SOLICITUDES DE ASISTENCIA DE LOS CLIENTES O ATENDER RECLAMACIONES (CALL - CENTER)."
N8220.02       ,"ACTIVIDADES DE CENTROS QUE REALIZAN LLAMADAS, USANDO TÉCNICAS SIMILARES, PARA VENDER O PROMOCIONAR BIENES O SERVICIOS A CLIENTES POTENCIALES, REALIZAR ESTUDIOS DE MERCADO O ENCUESTAS DE OPINIÓN PÚBLICA Y ACTIVIDADES SIMILARES PARA LOS CLIENTES."
N823           ,ORGANIZACIÓN DE CONVENCIONES Y EXPOSICIONES COMERCIALES.
N8230          ,ORGANIZACIÓN DE CONVENCIONES Y EXPOSICIONES COMERCIALES.
N8230.0        ,ORGANIZACIÓN DE CONVENCIONES Y EXPOSICIONES COMERCIALES.
N8230.00       ,"ORGANIZACIÓN, PROMOCIÓN Y/O GESTIÓN DE EVENTOS COMO EXPOSICIONES COMERCIALES O EMPRESARIALES, CONVENCIONES, CONFERENCIAS Y REUNIONES, ESTÉN INCLUIDAS O NO LA GESTIÓN DE ESAS INSTALACIONES Y LA DOTACIÓN DE PERSONAL NECESARIO PARA SU FUNCIONAMIENTO."
N829           ,ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.
N8291          ,ACTIVIDADES DE AGENCIAS DE COBRO Y AGENCIAS DE CALIFICACIÓN CREDITICIA.
N8291.0        ,ACTIVIDADES DE AGENCIAS DE COBRO Y AGENCIAS DE CALIFICACIÓN CREDITICIA.
N8291.01       ,"ACTIVIDADES DE COBRO DE CANTIDADES ADEUDADAS Y ENTREGA DE ESOS FONDOS A LOS CLIENTES, COMO SERVICIOS DE COBRO DE DEUDAS O FACTURAS."
N8291.02       ,"ACTIVIDADES DE RECOPILACIÓN DE INFORMACIÓN, COMO HISTORIALES DE CRÉDITO Y DE EMPLEO DE PERSONAS E HISTORIALES DE CRÉDITO DE EMPRESAS, Y SUMINISTRO DE ESA INFORMACIÓN A INSTITUCIONES FINANCIERAS, EMPRESAS DE VENTA AL POR MENOR Y OTRAS ENTIDADES QUE NECESITAN PODER EVALUAR LA SOLVENCIA DE ESAS PERSONAS Y EMPRESAS."
N8292          ,ACTIVIDADES DE ENVASADO Y EMPAQUETADO.
N8292.0        ,ACTIVIDADES DE ENVASADO Y EMPAQUETADO.
N8292.01       ,"ACTIVIDADES DE ENVASADO Y EMPAQUETADO A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO, CON INTERVENCIÓN O NO DE PROCESOS AUTOMATIZADOS: EMBOTELLADO DE LÍQUIDOS, INCLUIDOS ALIMENTOS Y BEBIDAS, ENVASADO O EMPAQUETADO DE SÓLIDOS (EMBALAJE CON PLÁSTICO DE BURBUJAS, RECUBRIMIENTO CON PAPEL ALUMINIO, ETCÉTERA)."
N8292.02       ,"ACTIVIDADES DE ETIQUETADO, ESTAMPADO E IMPRESIÓN."
N8292.09       ,OTRAS ACTIVIDADES DE ENVASADO Y EMPAQUETADO: ACTIVIDADES DE EMPAQUETADO DE ENVÍOS Y ENVOLTURA DE REGALOS.
N8299          ,OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A EMPRESAS N.C.P.
N8299.0        ,OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A EMPRESAS N.C.P.
N8299.01       ,"ACTIVIDADES DE ELABORACIÓN DE ACTAS TEXTUALES Y REGISTRO EN TAQUIGRAFÍA (ESTENOTIPIA) DE PROCEDIMIENTOS JURÍDICOS EN DIRECTO Y TRANSCRIPCIÓN DE LOS MATERIALES CORRESPONDIENTES, COMO: SERVICIOS DE REDACCIÓN DE ACTAS JUDICIALES O DE REGISTRO EN ESTENOTIPIA, SERVICIOS PÚBLICOS DE ESTENOGRAFÍA."
N8299.02       ,"ACTIVIDADES DE SUBTITULADO SIMULTÁNEO PARA SORDOS EN TIEMPO REAL DE RETRANSMISIONES EN DIRECTO POR TELEVISIÓN, REUNIONES, CONFERENCIAS, ETCÉTERA."
N8299.03       ,"SERVICIOS DE ORGANIZACIÓN DE LA RECAUDACIÓN DE FONDOS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA, SERVICIOS DE RECUPERACIÓN."
N8299.09       ,"OTRAS ACTIVIDADES DE APOYO QUE SE PROPORCIONAN HABITUALMENTE A LAS EMPRESAS Y QUE NO CLASIFICAN EN OTRA PARTE: SERVICIO DE RECOGIDA DE MONEDAS DE PARQUÍMETROS, SERVICIOS DE ANILLADOS Y PLASTIFICADOS, PRECLASIFICACIÓN DE CORREO, IMPRESIÓN DE CÓDIGO DE BARRAS, CODIFICACIÓN DE LA BARRA DE DIRECCIÓN, PROGRAMAS DE FIDELIZACIÓN, SUBASTA POR CUENTA PROPIA, ETCÉTERA."
O              ,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.
O84            ,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.
O841           ,ADMINISTRACIÓN DEL ESTADO Y APLICACIÓN DE LA POLÍTICA ECONÓMICA Y SOCIAL DE LA COMUNIDAD.
O8411          ,ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA EN GENERAL.
O8411.0        ,ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA EN GENERAL.
O8411.01       ,"DESEMPEÑO DE LAS FUNCIONES EJECUTIVAS Y LEGISLATIVAS DE LOS ÓRGANOS Y ORGANISMOS CENTRALES, REGIONALES Y LOCALES."
O8411.02       ,"ADMINISTRACIÓN Y SUPERVISIÓN DE LOS ASUNTOS FISCALES: APLICACIÓN DE LOS SISTEMAS TRIBUTARIOS, RECAUDACIÓN DE DERECHOS E IMPUESTOS SOBRE BIENES E INVESTIGACIÓN DE CASOS DE EVASIÓN DE IMPUESTOS."
O8411.03       ,ADMINISTRACIÓN DE ADUANAS.
O8411.04       ,EJECUCIÓN PRESUPUESTARIA Y ADMINISTRACIÓN DE FONDOS PÚBLICOS (HACIENDA) Y DE LA DEUDA PÚBLICA: OBTENCIÓN Y RECEPCIÓN DE FONDOS Y FISCALIZACIÓN DE SU DESEMBOLSO.
O8411.05       ,APLICACIÓN DE LA POLÍTICA GENERAL DE INVESTIGACIÓN Y DESARROLLO (CIVILES) Y ADMINISTRACIÓN DE LOS FONDOS CORRESPONDIENTES.
O8411.06       ,"ADMINISTRACIÓN Y GESTIÓN DE LOS SERVICIOS GENERALES DE PLANIFICACIÓN ECONÓMICA, SOCIAL Y DE ESTADÍSTICA EN LOS DIVERSOS NIVELES DE LA ADMINISTRACIÓN PÚBLICA."
O8412          ,"REGULACIÓN DE LAS ACTIVIDADES DE ORGANISMOS QUE PRESTAN SERVICIOS SANITARIOS, EDUCATIVOS, CULTURALES Y OTROS SERVICIOS SOCIALES, EXCEPTO SERVICIOS DE SEGURIDAD SOCIAL."
O8412.1        ,ADMINISTRACIÓN PÚBLICA DE PROGRAMAS DESTINADOS A PROMOVER EL BIENESTAR PERSONAL.
O8412.11       ,ADMINISTRACIÓN PÚBLICA DE PROGRAMAS DESTINADOS A PROMOVER EL BIENESTAR PERSONAL EN SALUD; ADMINISTRACIÓN DE POLÍTICAS DE INVESTIGACIÓN Y DESARROLLO ADOPTADAS EN ESTE ÁMBITO Y DE LOS FONDOS CORRESPONDIENTES.
O8412.12       ,"ADMINISTRACIÓN PÚBLICA DE PROGRAMAS DESTINADOS A PROMOVER EL BIENESTAR PERSONAL EN EDUCACIÓN, CULTURA Y DEPORTE; ADMINISTRACIÓN DE POLÍTICAS DE INVESTIGACIÓN Y DESARROLLO ADOPTADAS EN ESOS ÁMBITOS Y DE LOS FONDOS CORRESPONDIENTES, CONCESIÓN DE BECAS PÚBLICAS A ARTISTAS."
O8412.13       ,"ADMINISTRACIÓN PÚBLICA DE PROGRAMAS DESTINADOS A PROMOVER EL BIENESTAR PERSONAL EN ESPARCIMIENTO; ADMINISTRACIÓN DE POLÍTICAS DE INVESTIGACIÓN Y DESARROLLO ADOPTADAS EN ESTE ÁMBITO Y DE LOS FONDOS CORRESPONDIENTES, PATROCINIO DE ACTIVIDADES RECREATIVAS Y CULTURALES."
O8412.14       ,"ADMINISTRACIÓN PÚBLICA DE PROGRAMAS DESTINADOS A PROMOVER EL BIENESTAR PERSONAL EN MEDIO AMBIENTE; ADMINISTRACIÓN DE POLÍTICAS DE INVESTIGACIÓN Y DESARROLLO ADOPTADAS EN ESTE ÁMBITO Y DE LOS FONDOS CORRESPONDIENTES, ADMINISTRACIÓN DE PROGRAMAS DE PROTECCIÓN DEL MEDIO AMBIENTE."
O8412.15       ,"ADMINISTRACIÓN PÚBLICA DE PROGRAMAS DESTINADOS A PROMOVER EL BIENESTAR PERSONAL EN VIVIENDA; ADMINISTRACIÓN DE POLÍTICAS DE INVESTIGACIÓN Y DESARROLLO ADOPTADAS EN ESTE ÁMBITO Y DE LOS FONDOS CORRESPONDIENTES, ADMINISTRACIÓN DE PROGRAMAS DE VIVIENDA."
O8412.16       ,ADMINISTRACIÓN PÚBLICA DE PROGRAMAS DESTINADOS A PROMOVER EL BIENESTAR PERSONAL EN SERVICIOS SOCIALES; ADMINISTRACIÓN DE POLÍTICAS DE INVESTIGACIÓN Y DESARROLLO ADOPTADAS EN ESTE ÁMBITO Y DE LOS FONDOS CORRESPONDIENTES.
O8412.9        ,"OTROS SERVICIOS SOCIALES, EXCEPTO SERVICIOS DE SEGURIDAD SOCIAL."
O8412.91       ,ACTIVIDADES DE ADMINISTRACIÓN DE PROGRAMA DE SUMINISTRO DE AGUA POTABLE.
O8412.92       ,ACTIVIDADES DE ADMINISTRACIÓN DE SERVICIOS DE RECOLECCIÓN Y ELIMINACIÓN DE DESPERDICIOS.
O8413          ,REGULACIÓN Y FACILITACIÓN DE LA ACTIVIDAD ECONÓMICA.
O8413.1        ,"ADMINISTRACIÓN Y REGULACIÓN PÚBLICAS, INCLUIDA LA CONCESIÓN DE SUBVENCIONES, DE LOS SECTORES ECONÓMICOS."
O8413.11       ,"ADMINISTRACIÓN Y REGULACIÓN PÚBLICA, INCLUIDA LA CONCESIÓN DE SUBVENCIONES, DE LOS DISTINTOS SECTORES ECONÓMICOS DE LA AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA."
O8413.12       ,"ADMINISTRACIÓN Y REGULACIÓN PÚBLICAS, INCLUIDA LA CONCESIÓN DE SUBVENCIONES, DE LOS DISTINTOS SECTORES ECONÓMICOS DE LA ORDENACIÓN DE TIERRAS."
O8413.13       ,"ADMINISTRACIÓN Y REGULACIÓN PÚBLICAS, INCLUIDA LA CONCESIÓN DE SUBVENCIONES, DE LOS DISTINTOS SECTORES ECONÓMICOS DE ENERGÍA Y MINERÍA."
O8413.14       ,"ADMINISTRACIÓN Y REGULACIÓN PÚBLICAS, INCLUIDA LA CONCESIÓN DE SUBVENCIONES, DE LOS DISTINTOS SECTORES ECONÓMICOS DE INFRAESTRUCTURA."
O8413.15       ,"ADMINISTRACIÓN Y REGULACIÓN PÚBLICAS, INCLUIDA LA CONCESIÓN DE SUBVENCIONES, DE LOS DISTINTOS SECTORES ECONÓMICOS DE TRANSPORTE."
O8413.16       ,"ADMINISTRACIÓN Y REGULACIÓN PÚBLICAS, INCLUIDA LA CONCESIÓN DE SUBVENCIONES, DE LOS DISTINTOS SECTORES ECONÓMICOS DE COMUNICACIONES."
O8413.17       ,"ADMINISTRACIÓN Y REGULACIÓN PÚBLICAS, INCLUIDA LA CONCESIÓN DE SUBVENCIONES, DE LOS DISTINTOS SECTORES ECONÓMICOS DE HOTELES Y TURISMO."
O8413.18       ,"ADMINISTRACIÓN Y REGULACIÓN PÚBLICAS, INCLUIDA LA CONCESIÓN DE SUBVENCIONES, DE LOS DISTINTOS SECTORES ECONÓMICOS DE COMERCIO AL POR MAYOR Y AL POR MENOR."
O8413.9        ,OTRAS ACTIVIDADES DE REGULACIÓN Y FACILITACIÓN DE LA ACTIVIDAD ECONÓMICA.
O8413.91       ,ADMINISTRACIÓN DE LAS POLÍTICAS DE INVESTIGACIÓN Y DESARROLLO DESTINADAS A MEJORAR LOS RESULTADOS ECONÓMICOS Y DE LOS FONDOS CORRESPONDIENTES.
O8413.92       ,"ADMINISTRACIÓN DE LAS CUESTIONES LABORALES DE CARÁCTER GENERAL Y APLICACIÓN DE MEDIDAS DE DESARROLLO REGIONAL, POR EJEMPLO: MEDIDAS TENDIENTES A REDUCIR EL DESEMPLEO."
O842           ,PRESTACIÓN DE SERVICIOS A LA COMUNIDAD EN GENERAL.
O8421          ,RELACIONES EXTERIORES.
O8421.0        ,RELACIONES EXTERIORES.
O8421.01       ,"ADMINISTRACIÓN Y FUNCIONAMIENTO DEL MINISTERIO DE RELACIONES EXTERIORES DE LAS MISIONES DIPLOMÁTICAS, CONSULARES ACREDITADAS EN EL EXTRANJERO Y ANTE ORGANIZACIONES INTERNACIONALES; ADMINISTRACIÓN, DIRECCIÓN Y RESPALDO DE SERVICIOS INFORMATIVOS Y CULTURALES QUE SE PRESTAN EN EL EXTRANJERO."
O8421.02       ,"GESTIÓN DE ASUNTOS RELACIONADOS CON EL COMERCIO EXTERIOR, LA FINANCIACIÓN INTERNACIONAL Y CUESTIONES DE CARÁCTER TÉCNICO."
O8421.03       ,"SUMINISTRO DE AYUDA A OTROS PAÍSES, SEA O NO CANALIZADO A TRAVÉS DE ORGANISMOS INTERNACIONALES."
O8421.04       ,SUMINISTRO DE ASISTENCIA MILITAR A OTROS PAÍSES.
O8422          ,ACTIVIDADES DE DEFENSA.
O8422.0        ,ACTIVIDADES DE DEFENSA.
O8422.01       ,"ADMINISTRACIÓN, SUPERVISIÓN Y GESTIÓN DE ASUNTOS Y FUERZAS DE DEFENSA MILITAR DEL EJÉRCITO DE TIERRA, MARINA, FUERZA AÉREA Y ESPACIAL COMO: ACTIVIDADES DE FUERZAS DE RESERVA Y AUXILIARES DEL SISTEMA DE DEFENSA, LOGÍSTICA MILITAR (ABASTECIMIENTO DE EQUIPO, ESTRUCTURAS, SUMINISTROS, ETCÉTERA), ACTIVIDADES SANITARIAS PARA EL PERSONAL MILITAR EN CAMPAÑA."
O8422.02       ,"ACTIVIDADES DE MANDOS Y FUERZAS DE INGENIERÍA, TRANSPORTE, COMUNICACIONES, INTELIGENCIA, SUMINISTRO DE MATERIALES, PERSONAL Y OTRAS FUERZAS CONEXAS NO DESTINADOS AL COMBATE."
O8422.03       ,"ACTIVIDADES DE ADMINISTRACIÓN, GESTIÓN Y EL RESPALDO DE FUERZAS DE DEFENSA CIVIL, PRESTACIÓN DE APOYO A LA ELABORACIÓN DE PLANES DE EMERGENCIA Y LA EJECUCIÓN DE MANIOBRAS CON LA PARTICIPACIÓN DE INSTITUCIONES CIVILES Y DE LA POBLACIÓN."
O8422.04       ,ADMINISTRACIÓN DE POLÍTICAS DE INVESTIGACIÓN Y DESARROLLO RELACIONADAS CON LA DEFENSA Y LOS FONDOS CORRESPONDIENTES.
O8423          ,ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PÚBLICO Y DE SEGURIDAD.
O8423.0        ,ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PÚBLICO Y DE SEGURIDAD.
O8423.01       ,"ADMINISTRACIÓN Y DIRECCIÓN DE FUERZAS DE POLICÍA, REGULARES Y AUXILIARES QUE DEPENDEN DE LAS AUTORIDADES PÚBLICAS, DE FUERZAS DE VIGILANCIA PORTUARIA, FRONTERIZA Y COSTERA Y DE OTRAS FUERZAS ESPECIALES DE POLICÍA ENTRE CUYAS FUNCIONES SE CUENTAN LA ORDENACIÓN DEL TRÁFICO, EL REGISTRO DE EXTRANJEROS Y EL MANTENIMIENTO DE FICHEROS DE DETENIDOS."
O8423.02       ,"PREVENCIÓN Y EXTINCIÓN DE INCENDIOS: ADMINISTRACIÓN Y FUNCIONAMIENTO DE CUERPOS ORDINARIOS Y AUXILIARES DE BOMBEROS QUE DEPENDEN DE LAS AUTORIDADES PÚBLICAS QUE REALIZAN ACTIVIDADES DE PREVENCIÓN Y EXTINCIÓN DE INCENDIOS, RESCATE DE PERSONAS Y ANIMALES, ASISTENCIA EN DESASTRES CÍVICOS, INUNDACIONES, ACCIDENTES DE TRÁFICO, ETCÉTERA."
O8423.03       ,"ADMINISTRACIÓN Y FUNCIONAMIENTO DE TRIBUNALES CIVILES, ADMINISTRATIVOS Y PENALES, DE TRIBUNALES MILITARES Y DEL SISTEMA JUDICIAL EN GENERAL, INCLUIDO EL DESEMPEÑO DE FUNCIONES DE REPRESENTACIÓN JURÍDICA Y ASISTENCIA LETRADA EN NOMBRE DEL SECTOR PÚBLICO Y EN NOMBRE DE TERCEROS, CUANDO HAY FONDOS O SERVICIOS PÚBLICOS PREVISTOS CON ESE OBJETO; EMISIÓN DE FALLOS E INTERPRETACIÓN DE LA LEY Y ARBITRAJE EN PROCEDIMIENTOS CIVILES."
O8423.04       ,"ADMINISTRACIÓN DE PRISIONES Y PRESTACIÓN DE SERVICIOS CORRECCIONALES, INCLUIDOS LOS DE REHABILITACIÓN, INDEPENDIENTEMENTE DE QUE SU ADMINISTRACIÓN Y GESTIÓN SE ENCOMIENDE A UNIDADES PÚBLICAS O A UNIDADES PRIVADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO."
O8423.05       ,ACTIVIDADES DE ABASTECIMIENTO DE SUMINISTROS PARA SU UTILIZACIÓN EN SITUACIONES DE EMERGENCIA INTERNA EN TIEMPOS DE PAZ CAUSADAS POR DESASTRES.
O843           ,ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.
O8430          ,ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.
O8430.0        ,ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.
O8430.00       ,"FINANCIACIÓN Y ADMINISTRACIÓN DE LOS PROGRAMAS DE SERVICIOS PÚBLICOS DE SEGURIDAD SOCIAL: SEGUROS DE ENFERMEDAD, CONTRA ACCIDENTES LABORALES Y DE DESEMPLEO, PENSIONES DE JUBILACIÓN, PROGRAMAS QUE CUBREN LA PÉRDIDA DE INGRESOS EN CASOS DE MATERNIDAD, INCAPACIDAD TEMPORAL, VIUDEZ, ETCÉTERA."
P              ,ENSEÑANZA.
P85            ,ENSEÑANZA.
P851           ,ENSEÑANZA PREPRIMARIA Y PRIMARIA.
P8510          ,ENSEÑANZA PREPRIMARIA Y PRIMARIA.
P8510.1        ,ENSEÑANZA PREPRIMARIA.
P8510.11       ,"LA EDUCACIÓN PREPRIMARIA O INICIAL (ES EL PROCESO DE ACOMPAÑAMIENTO AL DESARROLLO INTEGRAL QUE CONSIDERA LOS ASPECTOS COGNITIVOS, AFECTIVO, PSICOMOTRIZ, SOCIAL, DE IDENTIDAD, AUTONOMÍA Y PERTINENCIA A LA COMUNIDAD DISEÑADA PRINCIPALMENTE PARA INTRODUCIR A LOS NIÑOS Y NIÑAS, DESDE LOS TRES AÑOS HASTA LOS CINCO AÑOS DE EDAD EN UN ENTORNO EDUCATIVO DE TIPO ESCOLAR, ES DECIR, SERVIR DE PUENTE ENTRE EL HOGAR Y EL MEDIO ESCOLAR)."
P8510.12       ,"EDUCACIÓN PREPRIMARIA Ó INICIAL ESPECIAL, PARA ALUMNOS CON DISCAPACIDAD."
P8510.2        ,ENSEÑANZA PRIMARIA.
P8510.21       ,"EDUCACIÓN PRIMARIA (DESARROLLA LAS CAPACIDADES, HABILIDADES, DESTREZAS Y COMPETENCIAS DE LAS NIÑAS, NIÑOS Y ADOLESCENTES, ESTÁ COMPUESTA POR SIETE AÑOS DE ESTUDIOS, COMPRENDE EL IMPARTIR FORMACIÓN ACADÉMICA Y OTRAS TAREAS RELACIONADAS A LOS ESTUDIANTES DE PRIMERO HASTA SÉPTIMO DE BÁSICA, QUE PROPORCIONAN UNA SÓLIDA EDUCACIÓN PARA LECTURA, ESCRITURA Y MATEMÁTICAS, ASÍ COMO UN NIVEL ELEMENTAL DE COMPRENSIÓN DE DISCIPLINAS COMO: HISTORIA, GEOGRAFÍA, CIENCIAS, ETCÉTERA; PUEDE SER PROVISTA EN SALONES DE CLASES O A TRAVÉS DE RADIO, TELEVISIÓN, INTERNET, CORRESPONDENCIA O EN EL HOGAR, INCLUYE LAS ACTIVIDADES DE ESCUELAS UNIDOCENTES)."
P8510.22       ,"EDUCACIÓN PRIMARIA ESPECIAL, PARA ALUMNOS CON DISCAPACIDAD."
P8510.23       ,"PROGRAMAS DE ALFABETIZACIÓN PARA ADULTOS EN EL NIVEL PRIMARIO EDUCATIVO. LA EDUCACIÓN PUEDE SER PROVISTA EN SALONES DE CLASES O A TRAVÉS DE RADIO, TELEVISIÓN, INTERNET, CORRESPONDENCIA O EN EL HOGAR."
P852           ,ENSEÑANZA SECUNDARIA.
P8521          ,ENSEÑANZA SECUNDARIA DE FORMACIÓN GENERAL.
P8521.0        ,ENSEÑANZA SECUNDARIA DE FORMACIÓN GENERAL.
P8521.01       ,"EDUCACIÓN SECUNDARIA (COMPRENDE SEIS AÑOS DE EDUCACIÓN A CONTINUACIÓN DE LA EDUCACIÓN PRIMARIA, DESDE OCTAVO DE BÁSICA HASTA TERCERO DE BACHILLERATO, CURSANDO UN TRONCO COMÚN DE ASIGNATURAS GENERALES, OPTANDO POR UN BACHILLERATO EN CIENCIAS O TÉCNICO. LA EDUCACIÓN PUEDE SER PROVISTA EN SALONES DE CLASES O A TRAVÉS DE RADIO, TELEVISIÓN, INTERNET, CORRESPONDENCIA O EN EL HOGAR."
P8521.02       ,"EDUCACIÓN EN BACHILLERATOS COMPLEMENTARIOS (FORTALECE LA FORMACIÓN OBTENIDA EN EL BACHILLERATO GENERAL UNIFICADO, ES DE CARÁCTER OPTATIVO Y SU DURACIÓN ES DE UN AÑO ADICIONAL Y PUEDEN SER DEL TIPO: BACHILLERATO TÉCNICO PRODUCTIVO Y BACHILLERATO ARTÍSTICO. LA EDUCACIÓN PUEDE SER PROVISTA EN SALONES DE CLASES O A TRAVÉS DE RADIO, TELEVISIÓN, INTERNET, CORRESPONDENCIA O EN EL HOGAR)."
P8521.03       ,"EDUCACIÓN ESPECIAL SECUNDARIA PARA ESTUDIANTES DISCAPACITADOS. LA EDUCACIÓN PUEDE SER PROVISTA EN SALONES DE CLASES O A TRAVÉS DE RADIO, TELEVISIÓN, INTERNET, CORRESPONDENCIA O EN EL HOGAR."
P8522          ,ENSEÑANZA DE FORMACIÓN TÉCNICA Y PROFESIONAL.
P8522.0        ,ENSEÑANZA SECUNDARIA DE FORMACIÓN TÉCNICA Y PROFESIONAL.
P8522.01       ,"ENSEÑANZA TÉCNICA Y PROFESIONAL DE NIVEL INFERIOR AL DE LA ENSEÑANZA SUPERIOR, CAPACITACIÓN PARA GUÍAS TURÍSTICOS, COCINEROS Y OTRO PERSONAL DE HOTELES Y RESTAURANTES."
P8522.02       ,"ESCUELAS DE CONDUCIR PARA CHÓFERES PROFESIONALES: DE CAMIONES, BUSES, ETCÉTERA."
P8522.03       ,ESCUELAS DE COSMÉTICA Y DE PELUQUERÍA.
P8522.04       ,"EDUCACIÓN ESPECIAL, ENSEÑANZA DE FORMACIÓN TÉCNICA Y PROFESIONAL PARA ALUMNOS CON DISCAPACIDAD."
P8522.05       ,CAPACITACIÓN EN REPARACIÓN DE COMPUTADORAS.
P853           ,ENSEÑANZA SUPERIOR.
P8530          ,ENSEÑANZA SUPERIOR.
P8530.0        ,ENSEÑANZA DE NIVEL SUPERIOR.
